"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"19","-1.0","-0.6425","0.0699","REGULATION OF 
MEGAKARYOCYTE 
DIFFERENTIATION%GOBP%GO:0045652 ","1.0","EIF6|CBFB|MEF2C|CIB1|EP300|KAT2B|RUNX1|TNRC6C|AGO3|AGO4|AGO1|TNRC6A|TNRC6B|HDAC1|GATA1|NFE2|PRKCQ|WDR5|PRMT6|GP1BA|PRMT1|MYL9|KMT2E|KMT2D|KMT2C|KMT2A|SIN3A|DPY30|THBS1|RBBP5|FAXDC2|SETD1A|MTURN|ASH2L|HMGB2|MOV10|TESC|PF4|RBM15|ZFPM1|ITGA2B|L3MBTL1|ZNF16|PITHD1","regulation of megakaryocyte differentiation","44","ENR","REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GOBP%GO:0045652","-1.4591","0.0","REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GOBP%GO:0045652",,,"false","REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GOBP%GO:0045652"
"30","-0.9886","-0.7068","0.0668","ALPHA-BETA T CELL 
DIFFERENTIATION 
INVOLVED IN 
IMMUNE 
RESPONSE%GOBP%GO:0002293 ","1.0","LEF1|SPN|PTGER4|RORC|ATP7A|LY9|FOXP1|BATF|SLAMF6|EOMES|GPR183|IRF4|STAT3|HMGB1|ZFPM1","alpha-beta T cell differentiation involved in immune response","15","ENR","ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002293","-1.466","0.0114","ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002293",,,"false","ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002293"
"30","-0.9938","-0.7068","0.0639","ALPHA-BETA T CELL 
ACTIVATION 
INVOLVED IN 
IMMUNE 
RESPONSE%GOBP%GO:0002287 ","1.0","LEF1|SPN|PTGER4|RORC|ATP7A|LY9|FOXP1|BATF|SLAMF6|EOMES|GPR183|IRF4|STAT3|HMGB1|ZFPM1","alpha-beta T cell activation involved in immune response","15","ENR","ALPHA-BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002287","-1.4781","0.0062","ALPHA-BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002287",,,"false","ALPHA-BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002287"
"30","-0.9907","-0.7002","0.0665","T CELL 
DIFFERENTIATION 
INVOLVED IN 
IMMUNE 
RESPONSE%GOBP%GO:0002292 ","1.0","LEF1|SPN|PTGER4|RORC|ATP7A|LY9|FOXP1|BATF|SLAMF6|EOMES|GPR183|IRF4|STAT3|FCER1G|HMGB1|ZFPM1","T cell differentiation involved in immune response","16","ENR","T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002292","-1.4683","0.0093","T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002292",,,"false","T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002292"
"44","-1.0","-0.612","0.0885","TRANSCRIPTIONAL 
REGULATION OF 
WHITE ADIPOCYTE 
DIFFERENTIATION%REACTOME%R-HSA-381340.2 ","1.0","CEBPA|MED9|CCND3|MED31|MED4|MED6|MED7|SREBF2|CDK19|MED19|MED16|MED18|MED17|NCOR1|CEBPD|MED11|ZNF467|MED13|MED10|CCNC|THRAP3|MED27|MED26|MED29|CDK8|CD36|MED28|MED23|ZNF638|MED22|MED25|TNF|FAM120B|MED24|MED21|MED20|KLF5|MED13L|EBF1|KLF4|TBL1XR1|MED30|MED8|NCOR2|CEBPB|HELZ2|HDAC3|CHD9|TBL1X|NCOA2|PPARA|TGS1|CDK4|SMARCD3|NCOA6|NCOA3|CREBBP|MED12|EP300|MED14|TGFB1|NCOA1|MED1|RXRA|CARM1|RELA|MED15|NFKB1","Transcriptional regulation of white adipocyte differentiation","68","ENR","TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME%R-HSA-381340.2","-1.423","0.0","TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME%R-HSA-381340.2",,,"false","TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME%R-HSA-381340.2"
"44","-0.9959","-0.7183","0.0443","RORA ACTIVATES 
GENE 
EXPRESSION%REACTOME 
DATABASE ID 
RELEASE 
75%1368082 ","0.986","CREBBP|TBL1XR1|NCOA1|MED1|RXRA|HELZ2|EP300|CHD9|TBL1X|NCOA2|PPARA|CARM1|TGS1|CPT1A|SMARCD3|NCOA6|RORA|SREBF1","RORA activates gene expression","18","ENR","RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082","-1.5252","0.0041","RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082",,,"false","RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082"
,"-0.9878","-0.66","0.0971","N-GLYCAN 
ANTENNAE 
ELONGATION IN THE 
MEDIAL 
TRANS-GOLGI%REACTOME%R-HSA-975576.1 ","1.0","MGAT5|MAN2A2|MAN2A1|MGAT4A|MGAT4B|B4GALT1|FUT8|ST6GAL1|ST8SIA6|B4GALT6|B4GALT5|ST3GAL4|B4GALT4|MGAT3|FUCA1|B4GALT3|MGAT2|CHST10|MGAT4C","N-glycan antennae elongation in the medial trans-Golgi","19","ENR","N-GLYCAN ANTENNAE ELONGATION IN THE MEDIAL TRANS-GOLGI%REACTOME%R-HSA-975576.1","-1.4114","0.0122","N-GLYCAN ANTENNAE ELONGATION IN THE MEDIAL TRANS-GOLGI%REACTOME%R-HSA-975576.1",,,"false","N-GLYCAN ANTENNAE ELONGATION IN THE MEDIAL TRANS-GOLGI%REACTOME%R-HSA-975576.1"
,"-0.997","-0.6343","0.094","ENERGY 
METABOLISM%WIKIPATHWAYS_20210210%WP1541%HOMO 
SAPIENS ","1.0","MEF2D|MEF2C|FOXO1|PPP3CA|PPP3R1|PPP3CC|SIRT1|EP300|PRKAB1|TFAM|MEF2B|PRKAG1|PPARGC1B|ESRRA|PRKAG2|PRKAB2|PRKAA1|NRF1|MYBBP1A|TFB2M|PPRC1|GSK3B|TFB1M|HDAC1|CREB1|NCOA1|ATF2|GABPA|RXRA|CAMK2G|PRMT1|FOXO3|CAMK4|UCP3|SIRT3|MAPK14|UCP2","Energy Metabolism","37","ENR","ENERGY METABOLISM%WIKIPATHWAYS_20210210%WP1541%HOMO SAPIENS","-1.4168","0.003","ENERGY METABOLISM%WIKIPATHWAYS_20210210%WP1541%HOMO SAPIENS",,,"false","ENERGY METABOLISM%WIKIPATHWAYS_20210210%WP1541%HOMO SAPIENS"
,"-0.9856","-0.6831","0.0992","REGULATION OF 
SISTER CHROMATID 
COHESION%GOBP%GO:0007063 ","1.0","RAD21|AXIN2|NAA10|FEN1|SMC5|ATRX|NSMCE2|CTCF|TNKS|DDX11|NIPBL|BUB1|HDAC8|CTNNB1|RB1","regulation of sister chromatid cohesion","15","ENR","REGULATION OF SISTER CHROMATID COHESION%GOBP%GO:0007063","-1.4072","0.0144","REGULATION OF SISTER CHROMATID COHESION%GOBP%GO:0007063",,,"false","REGULATION OF SISTER CHROMATID COHESION%GOBP%GO:0007063"
,"-0.995","-0.6393","0.0822","ENDOTHELIAL CELL 
DIFFERENTIATION%GOBP%GO:0045446 ","1.0","ACVR1|RAP2B|RAP1B|RBPJ|ENG|RAP2C|NOTCH1|JAG1|RDX|PPP1R16B|RAPGEF2|PDE4D|EDF1|RAB1A|RAB1B|FSTL1|RAPGEF3|ACVR2B|F2RL1|SMAD4|MYADM|TJP3|NRP1|TJP2|PECAM1|F11R|ICAM1|COL18A1|RAPGEF6|RAPGEF1|BMPR2|NRG1|PDE2A|KDM6B|EZR|MSN|RAP1A","endothelial cell differentiation","37","ENR","ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0045446","-1.4342","0.005","ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0045446",,,"false","ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0045446"
,"-0.997","-0.6227","0.0993","PID_AR_
PATHWAY%MSIGDB_
C2%PID_AR_PATHWAY","1.0","TGIF1|CDKN2A|CCND3|CDK6|BRCA1|KDM3A|TCF4|ZMIZ1|UBA3|MAK|ZNF318|CMTM2|RANBP9|CTDSP1|CTNNB1|XRCC5|PTK2B|CTDSP2|UBE3A|PA2G4|PAWR|VAV3|APPL1|LATS2|PELP1|TMF1|KDM4C|SVIL|PIAS1|RPS6KA3|KDM1A|FHL2|MED1|CARM1|UBE2I|FKBP4|NCOA6|PRKDC","PID_AR_PATHWAY","38","ENR","PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY","-1.4076","0.003","PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY",,,"false","PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY"
,"-0.999","-0.8017","0.0014","PEPTIDE 
CATABOLIC 
PROCESS%GOBP%GO:0043171 ","0.073","NAALADL1|LTA4H|ANPEP|TPP1|ADAMTS13|ECE1|LNPEP|NPEPPS|CPQ|ERAP2|ERAP1|CHAC2|IDE|GGT1|GGT7|XPNPEP1|CTSH","peptide catabolic process","17","ENR","PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171","-1.6922","0.001","PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171",,,"false","PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171"
,"-0.996","-0.636","0.0937","
APOPTOSIS-RELATED 
NETWORK DUE TO 
ALTERED NOTCH3 IN 
OVARIAN 
CANCER%WIKIPATHWAYS_20210210%WP2864%HOMO 
SAPIENS ","1.0","CDKN1B|AXIN1|HELLS|APP|SOCS3|CDKN1A|SQSTM1|MAPK1|PTK2B|IL7R|RNF7|CTNNA1|VAV3|CARD14|RIPK2|TNFRSF21|TRAF1|RPS6KB1|HDAC1|PKN1|CUL5|NRG1|GCLC|ERN1|THBS1|NET1|JUND|F2R|HSPD1|NFKB1","Apoptosis-related network due to altered Notch3 in ovarian cancer","30","ENR","APOPTOSIS-RELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER%WIKIPATHWAYS_20210210%WP2864%HOMO SAPIENS","-1.4168","0.004","APOPTOSIS-RELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER%WIKIPATHWAYS_20210210%WP2864%HOMO SAPIENS",,,"false","APOPTOSIS-RELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER%WIKIPATHWAYS_20210210%WP2864%HOMO SAPIENS"
,"-0.999","-0.6877","0.0615","HINDBRAIN 
DEVELOPMENT%GOBP%GO:0030902 ","1.0","KDM2B|FCGR2B|SDF4|CLP1|LRP6|TTBK2|ARL13B|ATP7A|GRID2|ZNF365|AGTPBP1|AHI1|KNDC1|ATF5|KIF14|CEP290|SEMA4C|CTNNA2|OPHN1|RORA|MYO16|NOG|PDSS2","hindbrain development","23","ENR","HINDBRAIN DEVELOPMENT%GOBP%GO:0030902","-1.4851","0.001","HINDBRAIN DEVELOPMENT%GOBP%GO:0030902",,,"false","HINDBRAIN DEVELOPMENT%GOBP%GO:0030902"
,"-0.996","-0.6398","0.0764","RHOA SIGNALING 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%RHOA 
SIGNALING 
PATHWAY ","1.0","CDKN1B|MAPK8|ROCK1|MAP2K4|LIMK1|F2RL2|PTEN|LIMK2|CDC42|SLC9A3|TLN1|PLD1|RDX|CFL1|PIP5K1B|PIP5K1C|PPP1R12A|PIP5K1A|SCAI|ITGB1|JUN|SLC9A1|RHOA|VCL|PKN2|PKN1|ATF2|PLD2|FOS|DIAPH1|SRF|MAP2K3|CIT|PRKCZ|EZR|MSN|ROCK2|MAP2K6","RhoA signaling pathway","38","ENR","RHOA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RHOA SIGNALING PATHWAY","-1.4456","0.004","RHOA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RHOA SIGNALING PATHWAY",,,"false","RHOA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RHOA SIGNALING PATHWAY"
,"-0.999","-0.6496","0.0793","ONCOGENE INDUCED 
SENESCENCE%REACTOME%R-HSA-2559585.6 ","1.0","CDKN2B|CDKN2A|UBB|CDK6|UBC|E2F2|UBA52|E2F3|TFDP1|TFDP2|ETS2|MAPK1|TP53|TNRC6C|AGO3|MAPK3|AGO4|MDM2|AGO1|RPS27A|ETS1|TNRC6A|TNRC6B|CDKN2D|ERF|MDM4|CDK4|SP1|MOV10|RB1","Oncogene Induced Senescence","30","ENR","ONCOGENE INDUCED SENESCENCE%REACTOME%R-HSA-2559585.6","-1.4392","0.001","ONCOGENE INDUCED SENESCENCE%REACTOME%R-HSA-2559585.6",,,"false","ONCOGENE INDUCED SENESCENCE%REACTOME%R-HSA-2559585.6"
,"-0.998","-0.622","0.082","TISSUE 
MIGRATION%GOBP%GO:0090130 ","1.0","S100P|KANK1|ANLN|LGALS8|ROCK1|EPHB4|CDH13|PXN|LOXL2|ADTRP|ZEB2|KANK2|NR4A1|PTP4A3|TESK1|GIPC1|GPLD1|DPP4|FAT2|LGALS12|PIK3CA|ARSB|STAT1|TNFSF12|ACTA2|VEGFA|FSTL1|NRP1|RHOA|AKT1|ABL1|MYH9|PKN2|PKN1|NANOS1|PRKX|KIT|CORO1B|ROBO1|MIA3|PLXND1|SRF|PIK3R3|CYP1B1|LPXN|STARD13","tissue migration","46","ENR","TISSUE MIGRATION%GOBP%GO:0090130","-1.4347","0.002","TISSUE MIGRATION%GOBP%GO:0090130",,,"false","TISSUE MIGRATION%GOBP%GO:0090130"
,"-0.9929","-0.6463","0.0846","NEGATIVE 
REGULATION OF 
PROTEIN 
DEPHOSPHORYLATION%GOBP%GO:0035308 ","1.0","TIPRL|BOD1|MGAT5|ROCK1|PPP4R4|YWHAE|BOD1L1|LGALS3|FKBP1A|CRY2|YWHAB|PPP1R11|NCKAP1L|ENSA|PPP1R15A|PPP1R16B|IKBKB|MFHAS1|TNF|FKBP1B|GSK3B|MASTL|ARPP19|PPP1R8|ROCK2|STYXL1","negative regulation of protein dephosphorylation","26","ENR","NEGATIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035308","-1.4311","0.0071","NEGATIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035308",,,"false","NEGATIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035308"
,"-0.9817","-0.6901","0.0912","REGULATION OF 
GASTRULATION%GOBP%GO:0010470 ","1.0","CLASP1|LBX2|CLASP2|MAPK7|CRB2|KLF4|DAG1|PHLDB2|WNK1|MAP2K5|POGLUT1|IL1RN|MYADM|TENM4|MBP","regulation of gastrulation","15","ENR","REGULATION OF GASTRULATION%GOBP%GO:0010470","-1.4199","0.0183","REGULATION OF GASTRULATION%GOBP%GO:0010470",,,"false","REGULATION OF GASTRULATION%GOBP%GO:0010470"
,"-0.9969","-0.7714","0.013","NUCLEUS 
LOCALIZATION%GOBP%GO:0051647 ","0.6","SYNE2|PAFAH1B1|PCM1|CEP120|TMEM201|CLMN|HOOK3|MTOR|FBXW11|DYNC1H1|DCTN1|SUN2|SLC9A3R1|DOCK7|SYNE3","nucleus localization","15","ENR","NUCLEUS LOCALIZATION%GOBP%GO:0051647","-1.5988","0.0031","NUCLEUS LOCALIZATION%GOBP%GO:0051647",,,"false","NUCLEUS LOCALIZATION%GOBP%GO:0051647"
,"-0.9867","-0.7014","0.0656","THE 
PHOTOTRANSDUCTION 
CASCADE%REACTOME%R-HSA-2514856.1 ","1.0","PDE6B|GNB1|CAMKMT|SLC24A1|FNTA|FNTB|PRKCQ|CNGA1|CALM1|CNGB1|PRKCA|NMT1|METAP1|METAP2|NMT2|GUCA1B","The phototransduction cascade","16","ENR","THE PHOTOTRANSDUCTION CASCADE%REACTOME%R-HSA-2514856.1","-1.47","0.0133","THE PHOTOTRANSDUCTION CASCADE%REACTOME%R-HSA-2514856.1",,,"false","THE PHOTOTRANSDUCTION CASCADE%REACTOME%R-HSA-2514856.1"
"10","1.0","0.6081","0.0089","ANTIMICROBIAL 
HUMORAL IMMUNE 
RESPONSE 
MEDIATED BY 
ANTIMICROBIAL 
PEPTIDE%GOBP%GO:0061844 ","0.024","ROMO1|RPS19|SPAG11A|RNASE6|DEFA4|DEFA3|PGLYRP1|GAPDH|GNLY|RPL39|RPL30|DEFA1B|CAMP|S100A12|CXCL5|PPBP|SPAG11B|PF4|CXCL1|PF4V1|LTF|S100A9|FAM3A|HMGN2","antimicrobial humoral immune response mediated by antimicrobial peptide","24","ENR","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844","2.0952","0.0","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844",,,"false","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844"
"10","1.0","0.608","0.007","DISRUPTION OF 
CELLS OF OTHER 
ORGANISM%GOBP%GO:0044364 ","0.011","ROMO1|APOL1|RPS19|DEFA3|PGLYRP1|GAPDH|GNLY|DEFB103B|RPL30|DEFA1B|CAMP|LYZ|S100A12|PF4|LTF|HMGN2","disruption of cells of other organism","16","ENR","DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364","2.1789","0.0","DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364",,,"false","DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364"
"10","1.0","0.4516","0.0396","ANTIMICROBIAL 
HUMORAL 
RESPONSE%GOBP%GO:0019730 ","0.161","PI3|RPS19|SPAG11A|CLU|PGLYRP1|RPL39|SLC11A1|S100A12|SPAG11B|CXCL1|PF4V1|HMGN2|ROMO1|SLPI|LCN2|BPI|RNASE6|DEFA4|RNASE2|DEFA3|CHGA|ATP7A|GAPDH|GNLY|PDZD11|DEFB103B|RPL30|DEFA1B|CAMP|LYZ|CXCL5|PPBP|PLA2G6|PF4|LTF|S100A9|S100A8|FAM3A","antimicrobial humoral response","38","ENR","ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730","1.8472","0.0","ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730",,,"false","ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730"
"10","1.0","0.608","0.0118","KILLING OF CELLS 
OF OTHER 
ORGANISM%GOBP%GO:0031640 ","0.036","ROMO1|APOL1|RPS19|DEFA3|PGLYRP1|GAPDH|GNLY|DEFB103B|RPL30|DEFA1B|CAMP|LYZ|S100A12|PF4|LTF|HMGN2","killing of cells of other organism","16","ENR","KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640","2.0721","0.0","KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640",,,"false","KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640"
,"-0.9856","-0.682","0.0872","ADULT 
BEHAVIOR%GOBP%GO:0030534 ","1.0","NLGN3|APP|CHRNB2|OPRM1|BTBD9|PAFAH1B1|BBS4|GHRL|CNTNAP2|NRXN1|NRXN3|PUM1|BBS2|CHRNB1|ABAT|TSC1","adult behavior","16","ENR","ADULT BEHAVIOR%GOBP%GO:0030534","-1.427","0.0144","ADULT BEHAVIOR%GOBP%GO:0030534",,,"false","ADULT BEHAVIOR%GOBP%GO:0030534"
"26","-0.998","-0.5986","0.0958","REGULATION OF 
GENE SILENCING BY 
RNA%GOBP%GO:0060966 ","1.0","LIMD1|ZFP36|NCOR1|PUM2|PUM1|MAP2K2|STAT3|ZC3H12A|TNF|POLR2G|DND1|MAP2K1|NCOR2|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|ESR1|POLR2F|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|RIPK1|FXR1|EIF4E2|DDX6|EIF4ENIF1|FMR1|DDX5|ELAVL1|SEH1L|AAAS|NUP50|NUP54|NUP214|RANBP2|NUP43|NUP210|NUP35|NUP37|NUP98|NUP205|POM121C|NUP85|TP53|NUP88|POM121|AGO1|TPR|NDC1|AGO2|TNRC6A|TGFB1|DHX9|TNRC6B|RAE1|NUP188|SEC13|NUP62|NUP160|BCDIN3D|NUP107|NUP155|NUP153|NUP93|NUP133|XPO5|EIF4G1|ZC3H10|IPO8","regulation of gene silencing by RNA","73","ENR","REGULATION OF GENE SILENCING BY RNA%GOBP%GO:0060966","-1.4135","0.002","REGULATION OF GENE SILENCING BY RNA%GOBP%GO:0060966",,,"false","REGULATION OF GENE SILENCING BY RNA%GOBP%GO:0060966"
"26","-0.9959","-0.7025","0.0501","POSITIVE 
REGULATION OF 
GENE SILENCING BY 
MIRNA%GOBP%GO:2000637 ","0.999","DDX6|AGO2|TGFB1|EIF4ENIF1|DHX9|TNRC6B|MAP2K1|FMR1|DDX5|LIMD1|ZFP36|PUM2|PUM1|MAP2K2|STAT3|EIF4G1|TP53|RIPK1|FXR1|EIF4E2","positive regulation of gene silencing by miRNA","20","ENR","POSITIVE REGULATION OF GENE SILENCING BY MIRNA%GOBP%GO:2000637","-1.5141","0.0041","POSITIVE REGULATION OF GENE SILENCING BY MIRNA%GOBP%GO:2000637",,,"false","POSITIVE REGULATION OF GENE SILENCING BY MIRNA%GOBP%GO:2000637"
"26","-0.999","-0.7043","0.0439","POSITIVE 
REGULATION OF 
POSTTRANSCRIPTIONAL 
GENE 
SILENCING%GOBP%GO:0060148 ","0.989","DDX6|AGO2|TGFB1|EIF4ENIF1|DHX9|TNRC6B|MAP2K1|FMR1|DDX5|LIMD1|ZFP36|PUM2|PUM1|MAP2K2|STAT3|EIF4G1|XPO5|TP53|RIPK1|FXR1|EIF4E2","positive regulation of posttranscriptional gene silencing","21","ENR","POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148","-1.5245","0.001","POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148",,,"false","POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148"
,"-0.999","-0.6402","0.0647","HEAD AND NECK 
SQUAMOUS CELL 
CARCINOMA%WIKIPATHWAYS_20210210%WP4674%HOMO 
SAPIENS ","1.0","HRAS|CDK6|FKBP1A|PTEN|PIK3CA|ERBB2|FGFR1|MAPKAP1|EIF4E|PIK3R1|NFKB2|RHEB|SMAD4|TRAF3|MLST8|DDIT4|BIRC2|TSC1|FGFR2|STK11|NUMB|KEAP1|IGF1R|RPS6KB2|SESN1|RICTOR|MTOR|CDK4|SESN2|REL|CDKN2A|MAML1|NOTCH1|TP63|AKT3|VEGFA|PDPK1|PRKAA1|CDKN1A|CTNNB1|FADD|PIK3R5|PIK3R2|KRAS|RPS6|NFE2L2|TSC2|TGFBR2|RB1|EIF4EBP1|RELA|NFKB1|NRAS","Head and Neck Squamous Cell Carcinoma","53","ENR","HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20210210%WP4674%HOMO SAPIENS","-1.4745","0.001","HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20210210%WP4674%HOMO SAPIENS",,,"false","HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20210210%WP4674%HOMO SAPIENS"
,"-0.9889","-0.6521","0.088","RESPONSE TO 
EPIDERMAL GROWTH 
FACTOR%GOBP%GO:0070849 ","1.0","DUSP3|PLCG1|ZFP36L2|ZFP36L1|IQGAP1|PTPN11|ZFP36|MED1|PTPN12|ERBB2|DUSP22|PDPK1|MAPK1|SYAP1|INPP5K|EEF1A1|PDE8A|MAPK3|STAT5B|KNSTRN|TPR","response to epidermal growth factor","21","ENR","RESPONSE TO EPIDERMAL GROWTH FACTOR%GOBP%GO:0070849","-1.4254","0.0111","RESPONSE TO EPIDERMAL GROWTH FACTOR%GOBP%GO:0070849",,,"false","RESPONSE TO EPIDERMAL GROWTH FACTOR%GOBP%GO:0070849"
"53","-0.9929","-0.6579","0.082","P38 MAPK 
SIGNALING 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED DATA%P38 
MAPK SIGNALING 
PATHWAY ","1.0","MAP3K7|CALM3|GADD45B|MAP3K10|TAOK2|GADD45A|ATM|TRAF6|TAB2|TAOK3|TAB1|MAP3K6|MAP2K3|MAPK14|MAP3K4|TAOK1|TXN|MAP3K3|MAP3K1|CCM2|MAP2K6|TRAF2|MAP3K5|RAC1","p38 MAPK signaling pathway","24","ENR","P38 MAPK SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 MAPK SIGNALING PATHWAY","-1.4348","0.0071","P38 MAPK SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 MAPK SIGNALING PATHWAY",,,"false","P38 MAPK SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 MAPK SIGNALING PATHWAY"
"53","-0.9753000000000001","-0.6706","0.0971","PID_P38_MKK3_
6PATHWAY%MSIGDB_
C2%PID_P38_MKK3_
6PATHWAY","1.0","MAP3K7|GADD45B|MAP3K10|TAOK2|ATM|GADD45A|TRAF6|TAOK3|MAP2K3|MAP3K6|MAPK14|TXN|MAP3K1|TRAF2|MAP2K6|MAP3K5|RAC1","PID_P38_MKK3_6PATHWAY","17","ENR","PID_P38_MKK3_6PATHWAY%MSIGDB_C2%PID_P38_MKK3_6PATHWAY","-1.412","0.0247","PID_P38_MKK3_6PATHWAY%MSIGDB_C2%PID_P38_MKK3_6PATHWAY",,,"false","PID_P38_MKK3_6PATHWAY%MSIGDB_C2%PID_P38_MKK3_6PATHWAY"
,"-0.999","-0.6641","0.0726","PRION DISEASE 
PATHWAY%WIKIPATHWAYS_20210210%WP3995%HOMO 
SAPIENS ","1.0","PRNP|MEF2C|BCL2|EP300|FGFR1|IRF4|STAT3|MAPK1|FYN|CHD2|BCL11A|MAPK3|POU2F2|TBP|RAD21|SPI1|PAX5|SMC3|RFX5|NCAM1|CREB1|RXRA|BATF|CASP3|CTCF|NFKB1","Prion disease pathway","26","ENR","PRION DISEASE PATHWAY%WIKIPATHWAYS_20210210%WP3995%HOMO SAPIENS","-1.4541","0.001","PRION DISEASE PATHWAY%WIKIPATHWAYS_20210210%WP3995%HOMO SAPIENS",,,"false","PRION DISEASE PATHWAY%WIKIPATHWAYS_20210210%WP3995%HOMO SAPIENS"
