"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","PURINE 
RIBONUCLEOSIDE 
TRIPHOSPHATE 
METABOLIC 
PROCESS%GOBP%GO:0009205 ",,"UQCRC2|SURF1|NDUFA4|ENTPD7|COX6C|ENO1|RAN|OPA1|CYCS|NDUFAF1|PFKP|ADPGK|ENPP3|MOCS2|GIMAP7|PARP1|IMPDH1|ENO2|CLPX|GAPDH|HSPA8|GPHN|ALDOA|PGAM2|LRRK2|VPS9D1|GAPDHS|ENTPD5|PFKFB2|PGM1|NADK|NFS1|NMNAT1|FIGNL1|TGFB1|RHOQ|MYH3|PFKM|NUDT5|SDHAF2|COA6|SLC25A13|CTNS|PFKL|TAZ|COX15|COX10|HSPA1B|ALDOC|HSPA1A|PGK1|OLA1|FOXK2|FOXK1|GPI|MOCS3|NUDT2|GNAI3|MFN1|ATP1B1|PGAM4|LDHA|AK3|AK9|GTPBP1|TEFM|NDUFAB1|SDHC|SDHD|SDHA|HK2|CYC1|NDUFV3|NDUFV2|NDUFB10|NDUFV1|NDUFB11|UQCRFS1|NDUFS8|NDUFS7|NDUFS6|HK1|NDUFS5|HK3|NDUFS4|HKDC1|NDUFS3|NDUFS2|NDUFS1|NDUFC2|NDUFC1|PKM|UQCR11|UQCR10|UQCRB|UQCRH|NDUFB9|NDUFB8|RAB23|NDUFA13|NDUFA11|PRKAG2|NDUFB7|BAD|NDUFA12|NDUFA10|NDUFB6|NDUFB5|TPI1|NDUFB4|NDUFB3|NDUFB2|NDUFB1|UQCRQ|PARG|NDUFA9|IMPDH2|NDUFA8|NDUFA7|NDUFA6|NDUFA5|NDUFA3|NDUFA2|CHCHD10|NDUFA1|PGAM1|COX7B|COX4I1|COX6A1|COX7C|AK4|COX8A|COX6B1|COX7A2L|STOML2|COX5B|UQCRC1|COX5A","purine ribonucleoside triphosphate metabolic process","138","ENR","PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205","1.0","0.01","PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205","false","PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205"
"0.99",,"1.0","LYMPHOCYTE 
CHEMOTAXIS%GOBP%GO:0048247 ",,"SLC12A2|PIK3CD|CCL4|CCL5|ADAM8|CXCL16|GPR183|GAS6|PIK3CG|DEFA1B|CCL4L2|CYP7B1|MSMP|CKLF|CCL3L3|CCR2","lymphocyte chemotaxis","16","ENR","LYMPHOCYTE CHEMOTAXIS%GOBP%GO:0048247","1.0","0.01","LYMPHOCYTE CHEMOTAXIS%GOBP%GO:0048247","false","LYMPHOCYTE CHEMOTAXIS%GOBP%GO:0048247"
"0.99",,"1.0","TRANSCRIPTIONAL 
REGULATION BY 
RUNX3%REACTOME 
DATABASE ID 
RELEASE 
75%8878159 ",,"MYC|CBFB|SRC|SMAD4|TCF7|PSME2|ZFHX3|PSMA4|PSMA1|PSMA2|PSME3|RUNX3|PSME1|PSMD10|PSMD12|PSMD11|PSMD14|PSMD13|TCF7L2|PSMA7|CDKN2A|KAT2A|PSMB10|UBB|CREBBP|LEF1|MAML2|PSMB6|MAML1|UBC|TCF7L1|PSMB7|ITGA4|PSMB4|MAMLD1|RBPJ|PSMB5|MAML3|PSMB2|PSMB3|NOTCH1|PSMB1|SNW1|BCL2L11|UBA52|PSMF1|PSMB8|JAG1|PSMB9|EP300|PSMC5|KAT2B|PSMC6|SMAD3|PSMC3|PSMC4|PSMC1|PSMC2|PSMD8|CDKN1A|HDAC4|PSMD9|CTNNB1|PSMD6|RUNX1|PSMD7|TP53|PSMD4|PSMD5|PSMD2|PSMD3|MDM2|ITGAL|PSMD1|RPS27A|TGFB1|PSMA5|PSMA6|KRAS|PSMA3|FOXO3|SMURF2|SMURF1|BRD2","Transcriptional regulation by RUNX3","84","ENR","TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 75%8878159","1.0","0.01","TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 75%8878159","false","TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 75%8878159"
"0.99",,"1.0","SIGNALING BY 
ERBB4%REACTOME 
DATABASE ID 
RELEASE 
75%1236394 ",,"STMN1|SOS1|SRC|HRAS|UBB|UBC|APH1B|UBA52|NCOR1|WWOX|PIK3CA|TAB2|SPARC|WWP1|ITCH|SHC1|NEDD4|PIK3R1|PSEN1|PSENEN|APH1A|NCSTN|RPS27A|PSEN2|ADAM17|ADAP1|GABRB1|S100B|MXD4|ESR1|NRG1|DLG4|EGF|STAT5A|NRAS","Signaling by ERBB4","35","ENR","SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 75%1236394","1.0","0.01","SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 75%1236394","false","SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 75%1236394"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
STEROL 
TRANSPORT%GOBP%GO:0032373 ",,"LDLRAP1|PTCH1|ABCA13|SIRT1|NFKBIA|ABCB4|ABCA3|PLTP|CES1|EEPD1|SCP2|CETP|GPS2|NR1H2|ABCA1|NR1H3|LRP1|ZDHHC8|LPCAT3|ANXA2|ABCA5|ABCA7","positive regulation of sterol transport","22","ENR","POSITIVE REGULATION OF STEROL TRANSPORT%GOBP%GO:0032373","1.0","0.01","POSITIVE REGULATION OF STEROL TRANSPORT%GOBP%GO:0032373","false","POSITIVE REGULATION OF STEROL TRANSPORT%GOBP%GO:0032373"
"0.99",,"1.0","IKK COMPLEX 
RECRUITMENT 
MEDIATED BY 
RIP1%REACTOME 
DATABASE ID 
RELEASE 
75%937041 ",,"RPS27A|LY96|TLR4|UBB|BIRC3|UBC|RIPK3|UBA52|TRAF6|IKBKB|IKBKG|UBE2D2|CD14|UBE2D3|CHUK|UBE2D1|TICAM2|UBE2N|UBE2V1|BIRC2|TICAM1|RIPK1","IKK complex recruitment mediated by RIP1","22","ENR","IKK COMPLEX RECRUITMENT MEDIATED BY RIP1%REACTOME DATABASE ID RELEASE 75%937041","1.0","0.01","IKK COMPLEX RECRUITMENT MEDIATED BY RIP1%REACTOME DATABASE ID RELEASE 75%937041","false","IKK COMPLEX RECRUITMENT MEDIATED BY RIP1%REACTOME DATABASE ID RELEASE 75%937041"
"0.99",,"1.0","INTERMEDIATE 
FILAMENT-BASED 
PROCESS%GOBP%GO:0045103 ",,"EPPK1|EVPL|BFSP1|ATXN3|SOD1|PPL|KLHL24|MTM1|FAM83H|DST|BFSP2|PLEC|PKP2|MACF1|VIM|TOR1A|DSP|SYNM|CSNK1A1|DNAJB6|SYNC","intermediate filament-based process","21","ENR","INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103","1.0","0.01","INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103","false","INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103"
"0.99",,"1.0","ENDODERM 
FORMATION%GOBP%GO:0001706 ",,"MMP8|LAMB1|ITGA5|DUSP5|DUSP2|PAF1|FN1|ITGA4|CDC73|ITGB5|DUSP1|HMGA2|ITGB2|LEO1|ITGAV|EOMES|COL7A1|MMP9|CTR9|RTF1|SETD2","endoderm formation","21","ENR","ENDODERM FORMATION%GOBP%GO:0001706","1.0","0.01","ENDODERM FORMATION%GOBP%GO:0001706","false","ENDODERM FORMATION%GOBP%GO:0001706"
"0.99",,"1.0","LIPID 
MODIFICATION%GOBP%GO:0030258 ",,"MBOAT7|PTEN|CYP3A5|PIK3CA|MTM1|MTMR4|MTMR10|MTMR12|INPP5F|PIK3R1|HSD17B4|ECHS1|HADHB|DECR1|AMACR|GBA|GCDH|ACADVL|CRAT|ACOT8|LCAT|PLA2G7|TPTE|MBOAT2|HSD17B10|SGPP1|LPCAT3|MBOAT1|EPHX2|PIK3C2B|SOCS3|CYP4V2|IP6K2|TPTE2|ST3GAL4|SYNJ2|MTMR7|DGKG|DGKE|DGKA|DGKZ|INPP5K|DGKH|PIK3CB|PIK3R2|CPT2|PIK3C2A|MTMR6|OCRL|MTMR1|MTMR3|ACADM|MTMR11|PPARD|MTMR8|ALOX5|MTMR9|PECR|MECR|ECHDC1|ECHDC2|SCP2|DGKD|HADH|PIK3CG|ACOX1|ADH5|MTMR2|BDH2|GBA2|ALOX15|ACSM1|PIK3C3|SOAT1|PI4KA|ABCD2|INPP5B|ABCD1|PORCN|ABCD3|SYNJ1|SLC25A17|EHHADH|SMG1|PEX2|ADIPOR1|PEX13|ALDH3A2|SACM1L|PI4KB|DGKQ|PI4K2B|ALOX12|SOCS4|PI4K2A|CISH|ACAA2|SOCS2|SGPP2|SOCS7|ECI1|SOCS5|ECI2|ACAD11|ACAD10|ACAT2|GBGT1|ACADS|PHYH|IP6K1|PIK3CD|EFR3A|HACL1|PI4KAP1|AUH|TMEM150A|IVD|FAM126B|ABCD4|FAM126A|ILVBL|ITPKB|ACOXL|HADHA|ITPKC|ACOX3|TTC7B|A3GALT2|TTC7A|CROT|ACAA1|MCAT|SLA2|ST3GAL2|MBOAT4|ETFA|ETFB|CYP3A7|SOCS6|ETFDH|PIK3R3|ACAT1|ADIPOR2","lipid modification","143","ENR","LIPID MODIFICATION%GOBP%GO:0030258","1.0","0.01","LIPID MODIFICATION%GOBP%GO:0030258","false","LIPID MODIFICATION%GOBP%GO:0030258"
"0.99",,"1.0","TNFS BIND THEIR 
PHYSIOLOGICAL 
RECEPTORS%REACTOME%R-HSA-5669034.2 ",,"TNFRSF6B|TNFRSF1B|EDARADD|TNFRSF14|CD27|TNFSF14|EDAR|TNFRSF25|TNFRSF13B|TNFSF13|TNFRSF8|TNFSF4|EDA|TNFRSF1A|TNFSF8|TNFRSF9|TNFSF13B","TNFs bind their physiological receptors","17","ENR","TNFS BIND THEIR PHYSIOLOGICAL RECEPTORS%REACTOME%R-HSA-5669034.2","1.0","0.01","TNFS BIND THEIR PHYSIOLOGICAL RECEPTORS%REACTOME%R-HSA-5669034.2","false","TNFS BIND THEIR PHYSIOLOGICAL RECEPTORS%REACTOME%R-HSA-5669034.2"
"0.99",,"1.0","PROTEIN 
MATURATION%GOBP%GO:0051604 ",,"FKBP1A|ECE1|HTRA2|AFG3L2|LGMN|APH1B|CIDEB|CASP2|SEC11A|SEC11C|CTSH|LMF1|GLRX3|CTSS|SPCS3|RIPK2|SPCS2|CLN5|SPCS1|DNAJB11|NNAT|LONP2|AIP|NLRC4|CASP1|FURIN|ZMPSTE24|IFI16|MMS19|TSPAN15|RCE1|MAGEF1|PTCH1|ADAM17|STUB1|SORL1|PCSK5|CES1|PCSK6|HPR|ASPRV1|PRSS12|TASP1|LIPT1|TSPAN32|IMMP2L|IMMP1L|TMEM208|CHCHD4|TESC|CISD3|KEL|PITRM1|DOHH|PGK1|MIPEP|TSPAN17|SPRTN|CIAO1|TYSND1|FXN|FAM111A|GLRX5|DDI2|HP|PCSK7|LMF2|ISCA2|ISCA1|CUZD1|C1RL|DHPS|CPD|CYFIP2|CPM|NFU1|BOLA2B|GGT1|TBC1D10A|XPNPEP3|SDE2|ASPH|CALR|FKBP1B|YME1L1|CORIN|PMPCB|PMPCA|TSPAN33|SPG7|NDUFAB1|PHEX|CCS|HSPD1|MME|CLN3|CREBBP|BAK1|CTSZ|CPA3|MYRF|ATP6AP2|EP300|KAT2B|TSPAN5|TSPAN14|ADAM19|BAD|CASP8|PSEN1|FADD|OMA1|PSENEN|CASP4|APH1A|NAA50|BACE1|SPPL3|NCSTN|PSEN2|SRGN|HM13|GALNT2|ADAM10|BACE2|NAA10|ADAMTS13|NAA30|NAA40|NAA20|NAA16|NAA25|NAA15|METAP2|NAA60|NAA35|STOML2|CTSL","protein maturation","138","ENR","PROTEIN MATURATION%GOBP%GO:0051604","1.0","0.01","PROTEIN MATURATION%GOBP%GO:0051604","false","PROTEIN MATURATION%GOBP%GO:0051604"
"0.99",,"1.0","DETECTION OF 
LIGHT 
STIMULUS%GOBP%GO:0009583 ",,"PDE6B|GNB1|PLEKHB1|EYS|PDC|PITPNM1|GNAT2|GNAQ|CNGA1|CNGB1|GPR52|OPN3|CEP250|UNC119|CACNA2D4","detection of light stimulus","15","ENR","DETECTION OF LIGHT STIMULUS%GOBP%GO:0009583","1.0","0.01","DETECTION OF LIGHT STIMULUS%GOBP%GO:0009583","false","DETECTION OF LIGHT STIMULUS%GOBP%GO:0009583"
"0.99",,"1.0","BIOCARTA_GLEEVEC_
PATHWAY%MSIGDB_
C2%BIOCARTA_
GLEEVEC_PATHWAY",,"MAPK8|GRB2|SOS1|MYC|MAP2K1|HRAS|CRKL|MAP2K4|RAF1|PIK3CA|STAT1|FOS|PIK3R1|BAD|JUN|MAP3K1|BCR|MAPK3|STAT5B","BIOCARTA_GLEEVEC_PATHWAY","19","ENR","BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY","1.0","0.01","BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY","false","BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY"
"0.99",,"1.0","COMMON PATHWAYS 
UNDERLYING DRUG 
ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO 
SAPIENS ",,"ARAF|MAP2K1|GRIA3|GNAS|CALM2|GNAI1|CREB1|PRKCB|PRKCA|RAF1|CAMK4|MAP2K2|ACTG1|PPP1CC|MAPK1|MAPK3|RAP1A","Common Pathways Underlying Drug Addiction","17","ENR","COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO SAPIENS","1.0","0.01","COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO SAPIENS","false","COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO SAPIENS"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
CELL CYCLE 
PROCESS%GOBP%GO:0090068 ",,"UBXN2B|MAD2L1BP|CNOT1|DYNC1LI1|CNOT8|RBL2|BRCA1|E2F4|NSFL1C|ATM|HNRNPU|PCBP4|CRADD|NDC80|AURKA|PRKCE|CASP2|TRIAP1|ARID3A|GPSM2|CDC23|INSR|CDC27|USP19|CNOT11|CNOT3|CNOT6L|CNOT2|ANAPC5|TNKS1BP1|AKT1|CNOT10|NPM1|SVIL|PRKACA|KMT2E|PAGR1|HYAL1|PLSCR1|KIF20B|DDRGK1|PHIP|PAF1|FOXO4|CSPP1|CXCR5|CDK10|PLCB1|SPAST|CDC73|PKP4|RPL26|MAP10|CDC14A|ID2|CDC14B|CDC42|RDX|CRLF3|XRCC3|GEN1|PCID2|WIZ|CDKN1A|MDM2|TPR|ADAM17|PLAGL1|NUP62|RACGAP1|NUDT16|PRMT1|STXBP4|RANBP1|TGFA|DYRK3|CARM1|BECN1|EGF|UHRF2|RRP8|RB1|ZNF16|NUMA1|EZH2|PDGFRB|CDKN1B|RHNO1|ANAPC7|CCND3|ANAPC11|CCND2|CDC16|PML|ANAPC4|HMGA2|SIRT2|AIF1|CDC7|NIPBL|NUSAP1|RPL23|PCNA|ANKRD17|ADAMTS1|MTBP|KLHL18|RHOA|LSM10|MED25|LSM11|CHEK2|CUL3|PLK3|CENPJ|DDX3X|RGCC|PKN2|CD28|PDGFB|BTG2|INO80|CEP120|GLI1|RAD51B|DYNC1H1|CDK4|RAD51C|CDC25B|MECP2|RAB11A|ZNF385A|STOX1|BRD4|FBXO5|VPS4B|ATAD5|DBF4B|RCC2|ZBTB17|GIPC1|CENPV|GADD45A|ECT2|EP300|DBF4|ANKRD31|RPTOR|PKD2|BAX|TFDP1|TFDP2|MYBBP1A|TP53|PHB2|RAD21|IL1B|SOX4|MDM4|FEN1|SMC5|CNOT6|ATRX|NSMCE2|KIF14|DDX11|UBE2E2|ANXA1|CIT|EIF4G1|CNOT7","positive regulation of cell cycle process","171","ENR","POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068","1.0","0.01","POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068","false","POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068"
"0.99",,"1.0","DOWNSTREAM 
SIGNALING EVENTS 
OF B CELL RECEPTOR 
(BCR)%REACTOME 
DATABASE ID 
RELEASE 
75%1168372 ",,"HRAS|FKBP1A|BTRC|PRKCB|CUL1|SKP1|PSME2|CALM1|FBXW11|PSMA4|PSMA1|PSMA2|PSME3|PSME4|PSME1|PSMD10|PSMD12|PSMD11|PSMD14|REL|PSMD13|PSMA7|MAP3K7|PSMB10|PPIA|UBB|PSMB6|UBC|NFKBIB|PSMB7|PPP3CA|PSMB4|PPP3R1|PSMB5|PPP3CB|PSMB2|NFKBIA|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|NFATC3|PSMC5|NFATC1|PSMC6|PSMC3|IKBKB|PSMC4|NFATC2|IKBKG|PSMC1|PSMC2|CHUK|NFKBIE|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|RPS27A|RASGRP1|PSMA5|PSMA6|PSMA3|CARD11|BCL10|RASGRP3|RELA|MALT1|NFKB1|NRAS","Downstream signaling events of B Cell Receptor (BCR)","77","ENR","DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 75%1168372","1.0","0.01","DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 75%1168372","false","DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 75%1168372"
"0.99",,"1.0","AXO-DENDRITIC 
TRANSPORT%GOBP%GO:0008088 ",,"SPG11|TRAK1|BLOC1S3|HSPB1|APP|SPAST|KIF3B|AP3B1|AP3S1|TMEM108|OPA1|BLOC1S2|RAB21|MAPK8IP3|DTNBP1|MAP1A|SNAPIN|MAPT|KIF1C|DLG2|BLOC1S6|BLOC1S4|BLOC1S5|APBA1|KIF3A|PAFAH1B1|SOD1|AP3M2|KIF5C|HIF1A|HSPA8|AP3M1|KIF5B|AP3S2|TRAK2|AP3D1|DST|FBXW11|DYNC1H1|DCTN1|KIF1B|BLOC1S1|ACTR10|RAB27B","axo-dendritic transport","44","ENR","AXO-DENDRITIC TRANSPORT%GOBP%GO:0008088","1.0","0.01","AXO-DENDRITIC TRANSPORT%GOBP%GO:0008088","false","AXO-DENDRITIC TRANSPORT%GOBP%GO:0008088"
"0.99",,"1.0","AXONAL 
TRANSPORT%GOBP%GO:0098930 ",,"TRAK1|BLOC1S3|HSPB1|AP3B1|SPAST|KIF3B|AP3S1|OPA1|TMEM108|BLOC1S2|RAB21|MAPK8IP3|DTNBP1|MAP1A|SNAPIN|MAPT|KIF1C|DLG2|BLOC1S6|BLOC1S4|BLOC1S5|KIF3A|PAFAH1B1|SOD1|AP3M2|KIF5C|HIF1A|AP3M1|KIF5B|AP3S2|TRAK2|AP3D1|DST|FBXW11|DYNC1H1|DCTN1|KIF1B|BLOC1S1|ACTR10|RAB27B","axonal transport","40","ENR","AXONAL TRANSPORT%GOBP%GO:0098930","1.0","0.01","AXONAL TRANSPORT%GOBP%GO:0098930","false","AXONAL TRANSPORT%GOBP%GO:0098930"
"0.99",,"1.0","RESPONSE TO GAMMA 
RADIATION%GOBP%GO:0010332 ",,"MYC|HRAS|KDM1A|MEN1|TMEM109|WRN|RPL26|ATR|ATM|LIG4|TLK2|FANCD2|DCUN1D3|HSF1|PRKAA1|XRCC5|TP53|XRCC6|TRIM13|MDM2","response to gamma radiation","20","ENR","RESPONSE TO GAMMA RADIATION%GOBP%GO:0010332","1.0","0.01","RESPONSE TO GAMMA RADIATION%GOBP%GO:0010332","false","RESPONSE TO GAMMA RADIATION%GOBP%GO:0010332"
"0.99",,"1.0","INFLAMMATORY 
RESPONSE%GOBP%GO:0006954 ",,"HNRNPA0|TLR10|CCR7|PRDX5|HSPG2|CD6|KLRG1|VNN1|CHI3L1|NLRP3|ITGB2|FUT7|CD40LG|TLR6|STAT3|CCR3|ADORA2A|TNF|RIPK2|TPST1|CXCR2|IL10RB|TLR5|LIAS|PROK2|RELB|FFAR2|GPR68|HIF1A|ITGAM|LTB4R2|MMP25|GRN|AOC3|TNFSF4|THBS1|PLA2G4B|HYAL1|NLRC4|CIITA|PF4|PLSCR1|TLR1|NCR3|CD40|CCR2|TLR2|PNMA1|IL6R|LY75|TLR4|APOL2|CTNNBIP1|NAIP|CCL5|C3AR1|FPR3|LAT|CNTF|IKBKB|IKBKG|CHUK|TNFRSF1A|TAC4|HDAC5|HDAC4|HDAC9|MGLL|MAPKAPK2|PF4V1|LGALS9|AGER|C5AR2|CD44|TGFB1|BLNK|PTGER2|APOL3|PTGER4|ALOX5|HRH4|HPR|SNAP23|CYBA|HRH1|PIK3CG|LRP1|LYZ|HMGB1|F2R|HMGB2|SNCA|RELA|ALOX15|S100A8|ORM1|NFKB1|IL2RA|PTGDR|HP|PTGIR|CXCR4|TACR1|LTB4R|HMOX1|AIF1|PARP4|PLA2G4C|SLC11A1|ITCH|CCL4L2|CD14|FPR2|CD36|CXCL1|CMKLR1|MAPT|PXK|CCL3L3|CD96|SLAMF8|ITIH4|HYAL3|PJA2|ADORA3|CEBPB|TBK1|TNFAIP6|SIGLEC1|TYROBP|CYBB|CD68|IL1RN|CXCL5|CSF1R|PPBP|TUSC2|NRROS|RAC1|REL|FPR1|PIK3CD|ABCF1|LOXL3|APP|CCR6|MEFV|CLU|NOD1|CCR5|NFATC3|IL18|MFHAS1|SYK|SIGIRR|PSEN1|F11R|CCR1|ITGAL|IL1B|ANO6|NFAM1|IFNGR1|FCGR2B|CCL4|KIT|ADAM8|FOS|ANXA1|C5AR1|S100A9|JAK2|ADM|NFX1","inflammatory response","174","ENR","INFLAMMATORY RESPONSE%GOBP%GO:0006954","1.0","0.01","INFLAMMATORY RESPONSE%GOBP%GO:0006954","false","INFLAMMATORY RESPONSE%GOBP%GO:0006954"
"0.99",,"1.0","PEPTIDE CHAIN 
ELONGATION%REACTOME%R-HSA-156902.2 ",,"RPL7A|RPS14|RPS17|RPS16|RPL18A|RPS19|RPS18|RPL36AL|RPL36|RPLP2|RPL35|RPL38|RPL37|RPS11|RPS10|RPL39|RPS13|RPS12|RPS9|RPS7|RPL21|RPS8|RPS5|RPL23|RPL22|RPL13A|RPS3A|RPSA|EEF1A1|RPL37A|RPL24|RPL27|RPL26|RPL29|UBA52|RPL28|RPL10|RPL12|RPL11|RPL36A|RPS27L|RPS4Y1|RPS15A|RPS3|RPL14|RPL13|RPL15|RPL18|RPL17|RPL19|RPL41|RPL35A|RPL23A|EEF2|RPS27A|RPS26|RPS25|RPS28|RPS27|RPS29|RPL27A|RPS20|RPL22L1|FAU|RPS6|RPS21|RPS24|RPS23|RPS2|RPL4|RPL5|RPL30|RPL3|RPL32|RPL31|RPLP1|RPL34|RPLP0|RPL10A|RPL8|RPL6|RPL7|RPS15|RPS4X","Peptide chain elongation","84","ENR","PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2","1.0","0.01","PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2","false","PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2"
"0.99",,"1.0","VISUAL SYSTEM 
DEVELOPMENT%GOBP%GO:0150063 ",,"PBX2|PBX4|TTLL5|BLOC1S3|CPAMD8|CRB2|CRYBG3|UNC45B|ZNF513|CRYBA1|PHACTR4|ANGPTL7|RPGRIP1L|MFSD2A|MAF|NHS|MAB21L2|GPM6A|TOPORS|SKI|RPGRIP1|PTPRM|NKD1|C12ORF57|ATF6|MEGF11|NIPBL|USP45|HIPK1|SMG9|ABI2|STAT3|ZDHHC16|ATF4|HDAC2|HDAC1|RARG|HIPK2|MDM1|ITGAM|LRP5L|SH3PXD2B|FBN2|TDRD7|PBX1|SMARCD3|SDK1|SDK2|MEIS1|CYP1B1|SIPA1L3|PDE6B|WNT16|PBX3|RAB3GAP1|BFSP1|BBS4|FLT1|VEGFA|ACVR2B|NRP1|KDM2B|IFT122|CHD7|WNT7A|BMPR2|FBN1|MED1|LRP6|NF1|AGTPBP1|CACNA1C|AHI1|SMARCA4|ACTL6A|CEP290|SCO2|PDGFRB|RAB18|CRYGS","visual system development","80","ENR","VISUAL SYSTEM DEVELOPMENT%GOBP%GO:0150063","1.0","0.01","VISUAL SYSTEM DEVELOPMENT%GOBP%GO:0150063","false","VISUAL SYSTEM DEVELOPMENT%GOBP%GO:0150063"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
HORMONE 
SECRETION%GOBP%GO:0046887 ",,"TCF7L2|GLUD1|PPP3CB|GPLD1|BAIAP3|GHRL|CAPN10|BAD|PSMD9|IRS2|BLK|STX4|VAMP8|C1QTNF3|SNX4|AIMP1|NNAT|SOX4|HCAR2|MCU|LRRC8A|TFR2|C2CD2L|AACS|ACSL4|TM7SF3|PLA2G6|HFE|MYRIP","positive regulation of hormone secretion","29","ENR","POSITIVE REGULATION OF HORMONE SECRETION%GOBP%GO:0046887","1.0","0.01","POSITIVE REGULATION OF HORMONE SECRETION%GOBP%GO:0046887","false","POSITIVE REGULATION OF HORMONE SECRETION%GOBP%GO:0046887"
